,bu_code,bu_naam,gemeente,provincie,netbeheerder,NAL_regio,RES_regio,Jaar,aantal_personenautos,aantal_evs_L,thuislaadpunten_L,werklaadpunten_L,publiekelaadpunten_L,bestemmingslaadpunten_L,laadpunten_parkeergarages_L,laadpunten_parkeerpleinen_L,snellaadpunten_L,vermogen_snellaadpunten_L,aantal_evs_M,thuislaadpunten_M,werklaadpunten_M,publiekelaadpunten_M,bestemmingslaadpunten_M,laadpunten_parkeergarages_M,laadpunten_parkeerpleinen_M,snellaadpunten_M,vermogen_snellaadpunten_M,aantal_evs_H,thuislaadpunten_H,werklaadpunten_H,publiekelaadpunten_H,bestemmingslaadpunten_H,laadpunten_parkeergarages_H,laadpunten_parkeerpleinen_H,snellaadpunten_H,vermogen_snellaadpunten_H,datum_bijgewerkt
12139,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2038,2099.716691,977.9273826,90.81857926,68.97250624,179.8237133,20.65113885,0.0,14.0,2.565279912,210.7709124,1320.601164,99.04561831,90.8445544,220.0553605,25.04362412,0.0,14.0,3.092549566,254.0929318,1876.081554,112.3817972,82.73343347,289.1115622,28.56782929,0.0,14.0,3.513049187,288.6424125,2024-02-28
12140,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2039,2096.987592,1069.210181,93.44189845,75.22656194,190.9916823,22.00994271,0.0,14.0,2.739094091,225.0519945,1464.755953,103.0980369,98.28094462,236.2910166,26.30525562,0.0,14.0,3.25443873,267.3942197,2096.987592,118.5321957,89.29525826,312.070505,29.77129277,0.0,14.0,3.668098681,301.3817331,2024-02-28
12141,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2040,2099.014002,1164.283861,96.17023726,81.6228138,202.2040943,23.28864784,0.0,14.0,2.902350353,238.4656073,1673.386613,108.776685,102.2367527,261.6103157,27.48688347,0.0,14.0,3.4056264,279.8162416,2099.014002,119.3161083,92.68716595,302.0220044,30.89490257,0.0,14.0,3.812342668,313.2332416,2024-02-28
12142,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2041,2097.091005,1262.632371,99.10825063,88.42517569,213.3498046,24.49645328,0.0,14.0,3.055933807,251.0844737,1946.954877,116.3259586,106.5124965,295.2396308,28.59848413,0.0,14.0,3.547095652,291.4397698,2097.091005,120.1034173,96.3684492,292.0468178,31.84436364,0.0,14.0,3.933879216,323.2190404,2024-02-28
12143,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2042,2097.911091,1369.509401,102.2925227,95.68326655,225.3148206,25.6151183,0.0,14.0,3.200619901,262.9723071,2097.911091,120.8826668,110.7533563,308.8614373,29.61827978,0.0,14.0,3.679697296,302.3347093,2097.911091,120.8826668,103.7213972,292.0526516,31.84436364,0.0,14.0,3.946045852,324.2186869,2024-02-28
12144,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2043,2097.912167,1506.285788,106.3458024,100.7441613,241.4511593,26.67800113,0.0,14.0,3.337330224,274.2048277,2097.912167,121.6661228,114.9886495,300.1070614,30.58449555,0.0,14.0,3.804422646,312.5825094,2097.912167,121.6661228,111.3382162,291.9408829,31.84436364,0.0,14.0,3.956184716,325.0517257,2024-02-28
12145,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2044,2095.588817,1685.172399,111.7774784,104.0061423,263.3278487,27.69145989,0.0,14.0,3.466646496,284.8298315,2095.588817,122.6,118.3999633,291.4755648,31.84436364,0.0,14.0,3.964295807,325.7181567,2095.588817,122.6,118.3999633,291.4755648,31.84436364,0.0,14.0,3.964295807,325.7181567,2024-02-28
12146,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2045,2095.854603,1911.92369,117.7504283,107.3616887,291.5623395,28.63193082,0.0,14.0,3.58908449,294.8896957,2095.854603,122.6,118.3999688,291.5135342,31.84436364,0.0,14.0,3.974434671,326.5511955,2095.854603,122.6,118.3999688,291.5135342,31.84436364,0.0,14.0,3.974434671,326.5511955,2024-02-28
12147,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2046,2095.345563,2095.345563,122.6,110.8424477,312.013107,29.5337367,0.0,14.0,3.705322664,304.4401646,2095.345563,122.6,118.3999739,291.4408142,31.84436364,0.0,14.0,3.982545763,327.2176265,2095.345563,122.6,118.3999739,291.4408142,31.84436364,0.0,14.0,3.982545763,327.2176265,2024-02-28
12148,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2047,2093.448566,2093.448566,122.6,114.3590128,304.5569326,30.38596201,0.0,14.0,3.815753037,313.5134475,2093.448566,122.6,118.3999789,291.1698147,31.84436364,0.0,14.0,3.990656854,327.8840575,2093.448566,122.6,118.3999789,291.1698147,31.84436364,0.0,14.0,3.990656854,327.8840575,2024-02-28
12149,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2048,2088.868143,2088.868143,122.6,117.4426989,297.043906,31.19235742,0.0,14.0,3.920830704,322.1469365,2088.868143,122.6,118.399984,290.5154685,31.84436364,0.0,14.0,3.998767945,328.5504885,2088.868143,122.6,118.399984,290.5154685,31.84436364,0.0,14.0,3.998767945,328.5504885,2024-02-28
12150,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2049,2090.067711,2090.067711,122.6,118.399989,290.6868354,31.84436364,0.0,14.0,4.004851263,329.0503118,2090.067711,122.6,118.399989,290.6868354,31.84436364,0.0,14.0,4.004851263,329.0503118,2090.067711,122.6,118.399989,290.6868354,31.84436364,0.0,14.0,4.004851263,329.0503118,2024-02-28
12151,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2050,2093.530481,2093.530481,122.6,118.399994,291.1815169,31.84436364,0.0,14.0,4.012962354,329.7167428,2093.530481,122.6,118.399994,291.1815169,31.84436364,0.0,14.0,4.012962354,329.7167428,2093.530481,122.6,118.399994,291.1815169,31.84436364,0.0,14.0,4.012962354,329.7167428,2024-02-28
12152,BU00500002,Tweede woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2023,2963.799185,158.0177817,113.7398831,11.18260894,48.38947516,6.054322735,0.0,0.0,0.099243389,7.443254165,158.0177817,113.7398831,11.18260894,48.38947516,6.054322735,0.0,0.0,0.099243389,7.443254165,158.0177817,113.7398831,11.18260894,48.38947516,6.054322735,0.0,0.0,0.099243389,7.443254165,2024-02-28
